,분류 : 지상,,,,,
,요소 : 습도,,,,,
,검색구분 : 월,,,,,
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1980 ~ 2018  01~12,,,,,
,,,,,,
,,,,,,
일시,평균상대습도(%),최소상대습도(%),,,,
 2013-10,74,36,,,,
 2013-11,70,42,,,,
 2013-12,67,34,,,,
 2014-01,63,32,,,,
 2014-02,71,40,,,,
 2014-03,72,25,,,,
 2014-04,73,18,,,,
 2014-05,80,29,,,,
 2014-06,89,50,,,,
 2014-07,92,54,,,,
 2014-08,90,60,,,,
 2014-09,79,45,,,,
 2014-10,75,38,,,,
 2014-11,71,38,,,,
 2014-12,70,25,,,,
 2015-01,70,41,,,,
 2015-02,69,42,,,,
 2015-03,70,26,,,,
 2015-04,82,19,,,,
 2015-05,80,20,,,,
 2015-06,90,43,,,,
 2015-07,92,56,,,,
 2015-08,86,56,,,,
 2015-09,78,46,,,,
 2015-10,71,35,,,,
 2015-11,81,47,,,,
 2015-12,71,46,,,,
 2016-01,71,42,,,,
 2016-02,66,27,,,,
 2016-03,72,30,,,,
 2016-04,84,25,,,,
 2016-05,82,31,,,,
 2016-06,91,46,,,,
 2016-07,92,69,,,,
 2016-08,79,56,,,,
 2016-09,86,48,,,,
 2016-10,81,35,,,,
 2016-11,73,42,,,,
 2016-12,71,38,,,,
 2017-01,69,44,,,,
 2017-02,67,37,,,,
 2017-03,65,26,,,,
 2017-04,79,24,,,,
 2017-05,81,17,,,,
 2017-06,88,35,,,,
 2017-07,95,69,,,,
 2017-08,84,40,,,,
 2017-09,79,29,,,,
 2017-10,80,39,,,,
 2017-11,72,39,,,,
 2017-12,67,39,,,,
 2018-01,73,38,,,,
 2018-02,66,36,,,,
 2018-03,84,37,,,,
 2018-04,83,22,,,,
 2018-05,87,36,,,,
 2018-06,89,49,,,,
 2018-07,93,61,,,,
 2018-08,92,52,,,,
 2018-09,85,38,,,,
 2018-10,71,41,,,,
 2018-11,72,33,,,,
 2018-12,72,41,,,,
 평균,77,39,,,,
