일시,평균기온,최고기온 평균,최저기온 평균,강수량mm
 2002-11,11.3,14.8,7.8,31.1
 2002-12,9.2,12,6.6,102.4
 2003-01,5.4,8.4,2.5,86.4
 2003-02,7.9,11.1,4.9,73
 2003-03,9.7,13.1,6.6,164
 2003-04,14.8,18.8,11.5,225
 2003-05,18.6,21.9,15.8,392
 2003-06,21.8,25.1,19.1,377
 2003-07,24.2,26.9,22.1,363.5
 2003-08,26.6,29.7,24.2,459
 2003-09,24.5,27.9,21.7,330.4
 2003-10,18,21.9,14.7,51.5
 2003-11,15.1,18.5,11.9,244.5
 2003-12,8.4,11.5,5.4,33.5
 2004-01,5.6,8.9,2.7,68.5
 2004-02,8.3,12.4,4.6,97.1
 2004-03,10.1,14.2,6.4,107.5
 2004-04,14.4,18.6,10.4,257.6
 2004-05,18,21.5,14.9,420.7
 2004-06,22.1,25.5,19.1,180.4
 2004-07,26.4,29.6,23.8,60.5
 2004-08,27.7,31,25,552.5
 2004-09,23.6,26.7,21,412
 2004-10,18.6,22.2,15.4,46
 2004-11,13.8,17.9,10.4,81.1
 2004-12,9.8,13.1,6.5,55.4
 2005-01,5.1,7.9,2.7,58
 2005-02,5.4,8.4,2.5,110
 2005-03,8.2,12.2,4.6,194.6
 2005-04,14.6,18.7,10.9,135.5
 2005-05,17.6,21.6,14,137.7
 2005-06,22.3,25.7,19.4,96.3
 2005-07,25.9,28.8,23.5,374
 2005-08,26.7,29.8,24.2,256
 2005-09,24.8,28,22.4,64
 2005-10,18.9,22.3,16.1,64.5
 2005-11,14.2,17.8,10.8,137
 2005-12,5.8,9.1,2.8,112.5
 2006-01,7.4,10.3,4.7,99
 2006-02,6.5,9.8,3.3,73.5
 2006-03,9.8,13.7,6.1,54.2
 2006-04,13.7,17.4,10.3,282.8
 2006-05,16.9,20.4,14,253.5
 2006-06,20.7,23.8,18.2,486
 2006-07,24.9,27.6,22.9,407.5
 2006-08,27.8,31,25.1,194
 2006-09,22.1,25,19.8,273
 2006-10,20.1,24,16.7,68
 2006-11,14.9,18.2,11.8,85.5
 2006-12,9.1,12.3,6.3,90.5
 2007-01,7.3,10.2,4.7,124.5
 2007-02,9.4,13.1,5.9,61
 2007-03,10.8,14.3,7.5,105.9
 2007-04,14,17.8,10.3,81.9
 2007-05,18.5,22.4,15.1,154
 2007-06,21.3,24.3,18.9,144.4
 2007-07,24.8,27.6,22.5,464.2
 2007-08,27.7,30.7,25.2,563.8
 2007-09,24.1,26.9,21.9,880
 2007-10,19,22.1,16.3,183
 2007-11,12.7,16.1,9.6,2.6
 2007-12,9.8,12.5,7.2,114.7
 2008-01,6.8,9.5,4.6,156.8
 2008-02,5.3,8.5,2.4,31
 2008-03,10.3,14.1,7,123.6
 2008-04,14.5,17.9,11.3,111.2
 2008-05,17.6,21.3,14.1,209.9
 2008-06,20.5,23.1,18.2,377.3
 2008-07,26.5,29.6,24.1,96.3
 2008-08,26.4,29.6,23.8,396.6
 2008-09,23.8,26.8,21.5,343.2
 2008-10,19.5,22.9,16.6,91
 2008-11,13.2,16.2,10.3,88.3
 2008-12,8.9,12.3,5.6,35.4
 2009-01,5.9,8.7,3,67.9
 2009-02,9.3,12.3,6.3,157
 2009-03,10.2,13.7,6.6,216.6
 2009-04,13.9,17.8,10.1,183.2
 2009-05,18.6,22.7,15,103.4
 2009-06,21.6,24.9,18.8,393
 2009-07,24.9,27.7,22.6,329.1
 2009-08,25.8,28.6,23.5,240.5
 2009-09,23.3,26.3,20.9,162.7
 2009-10,19.4,23,16.2,82.1
 2009-11,12.6,15.8,9.9,180.1
 2009-12,7.6,10.6,4.8,53.9
 2010-01,5.8,9,2.8,64.1
 2010-02,7.7,10.7,4.7,113.2
 2010-03,9.5,12.8,5.9,259.3
 2010-04,11.9,15.3,8.8,324.8
 2010-05,17.1,20.9,14.1,109.9
 2010-06,20.9,24,18.6,387
 2010-07,25.5,28.3,23.3,306
 2010-08,28.1,31,25.8,491.2
 2010-09,24.7,27.7,22.3,188.4
 2010-10,18.3,21.4,15.5,125
 2010-11,12.7,16.5,8.8,3
 2010-12,7.8,11.3,4.5,106.8
 2011-01,2.8,5.2,0.7,19
 2011-02,7.7,11,4.6,140.2
 2011-03,8.1,11.4,4.9,91.6
 2011-04,13.2,17,9.3,148.4
 2011-05,18,21.3,15.4,125.4
 2011-06,21.2,23.8,19.2,584.5
 2011-07,26.5,29.4,24.3,130.4
 2011-08,25.8,28.5,24,423.1
 2011-09,23.7,27,21.1,112.2
 2011-10,18.5,21.8,15.6,71
 2011-11,16.3,19.4,13.7,432.5
 2011-12,7.4,10.2,4.8,73
 2012-01,5.8,8.4,3.4,32.9
 2012-02,5.4,8.3,2.6,109.1
 2012-03,9.6,12.8,6.5,201.5
 2012-04,14.7,18.5,10.7,516.5
 2012-05,19,22.8,15.6,144
 2012-06,22.1,25,19.9,208.8
 2012-07,26,28.7,23.7,207.3
 2012-08,27.6,30.5,25.5,926.7
 2012-09,22.2,25.4,19.7,499.1
 2012-10,18.8,22.3,15.6,47
 2012-11,12.3,15.4,9.3,189.3
 2012-12,6.7,9.8,3.9,190.5
 2013-01,5.7,8.7,2.7,40.1
 2013-02,6.6,9.8,3.2,106
 2013-03,10.3,14.9,5.9,64.3
 2013-04,13.3,17.3,9.3,132.8
 2013-05,18.3,22,14.9,160.5
 2013-06,21.4,24.3,19.4,205.1
 2013-07,27.2,30,25.1,18.8
 2013-08,28.6,31.9,25.8,222.5
 2013-09,24.2,27.4,21.4,90.1
 2013-10,19.7,22.8,16.8,116.6
 2013-11,12.8,16.2,9.5,145.9
