일시,평균기온,최고기온 평균,최저기온 평균,강수량mm,합계전천일사량(MJ/㎡),평균상대습도(%)
 1997-04,14.1,17.6,10.6,277,447.01,71
 1997-05,18.3,21.9,15.2,124.7,569.54,77
 1997-06,22.3,25.6,19.2,218.5,522.4,79
 1997-07,25.5,28.2,23.3,235.1,534.55,88
 1997-08,26.2,28.9,23.7,270,451.56,86
 1997-09,22.8,26,20,46,407.29,74
 1997-10,18.1,22.1,14.4,14,419.52,69
 1997-11,14.5,17.7,11.3,305.5,211.38,77
 1997-12,9.3,12.2,6.4,175.5,194.85,71
 1998-01,6.4,9.3,3.7,252.5,161.37,71
 1998-02,8.9,12.2,5.9,157.9,263.92,76
 1998-03,10,13.4,6.6,151.5,386.44,76
 1998-04,16.1,19.2,13,271.2,400.37,89
 1998-05,18.7,22.1,15.6,116.5,513.32,87
 1998-06,20.9,23.7,18.6,327.5,435.76,92
 1998-07,26.4,29.1,24.2,369.5,601.67,92
 1998-08,27.3,30.2,24.9,257.4,627.19,88
 1998-09,24.4,27.7,21.7,477.5,454.74,79
 1998-10,19.7,22.9,17,70.1,388.16,79
 1998-11,13.7,17.5,9.9,19.8,334.98,75
 1998-12,9.2,12.8,6,10.7,269.37,70
 1999-01,6.8,10.1,3.8,112.8,215.8,72
 1999-02,6.9,10.4,3.8,62.4,304.04,74
 1999-03,10.5,13.9,7.2,178.5,309.75,78
 1999-04,14.2,18,11,87.6,516.06,79
 1999-05,17.7,21.6,14.2,292,657.1,82
 1999-06,21.3,24.5,18.7,295.8,499.06,87
 1999-07,23.4,26.2,21.5,918.2,432.37,91
 1999-08,25,27.7,23.1,666.3,424.4,90
 1999-09,24.5,27.5,22.2,508,352.4,87
 1999-10,18.7,22.5,15.7,80,371.48,73
 1999-11,13.1,16.8,10.1,39.4,251.17,74
 1999-12,8,11.5,4.8,25.8,234.17,71
 2000-01,6.5,9.2,3.6,85.5,121.26,77
 2000-02,4.9,8.1,1.9,16.3,349.4,69
 2000-03,9.6,13.5,5.8,83,514.81,68
 2000-04,13.4,17.6,9.5,60.7,605.55,71
 2000-05,17.2,21.2,13.7,162,639.46,79
 2000-06,21.4,24.4,18.8,167.1,502.96,85
 2000-07,26.3,29.2,23.9,166.2,614.81,86
 2000-08,27.6,30.6,24.9,244.3,632.7,83
 2000-09,22.5,25.5,20,331.2,471.87,79
 2000-10,18.7,22,15.8,213.5,396.97,74
 2000-11,13,16.4,9.9,112,316,75
 2000-12,8.8,12.5,5.3,19.8,259.35,71
 2001-01,5.8,9.1,2.7,165,221.2,76
 2001-02,6.8,10.5,3.4,90.2,279.12,67
 2001-03,9.6,13.8,5.8,21.9,472.24,64
 2001-04,14.3,18.3,10.4,203,600.76,70
 2001-05,18.4,22.1,15.4,162.5,593.95,80
 2001-06,21.4,24.3,19,272,462.19,86
 2001-07,26.4,29.7,23.7,273.2,635.99,87
 2001-08,26.8,30.1,24.2,252.5,603.1,76
 2001-09,23.3,26.5,20.7,209.5,561.88,70
 2001-10,19.4,22.7,16.5,176,440.16,69
 2001-11,12.2,15.9,9,67,322.89,62
 2001-12,7.1,9.9,4.5,166,155.4,65
 2002-01,7.6,10.9,4.7,56.6,218.05,66
 2002-02,7.6,11.4,4.1,52.3,391.64,63
 2002-03,11.6,15.3,7.8,101.1,469.65,66
 2002-04,15.1,18.5,11.8,179,468.38,74
 2002-05,17.9,21.2,15.3,200,507.95,84
 2002-06,21.6,25.1,18.5,118.6,625.7,82
 2002-07,24.4,27.3,22.2,495.7,503.99,92
 2002-08,25.6,28.3,23.4,472.5,486.37,89
 2002-09,22.9,26.2,20,143.9,552.27,79
 2002-10,17.9,21.4,14.4,182.8,401.06,72
 2002-11,11.3,14.8,7.8,31.1,271.25,71
 2002-12,9.2,12,6.6,102.4,148.18,75
 2003-01,5.4,8.4,2.5,86.4,186.09,72
 2003-02,7.9,11.1,4.9,73,246.08,74
 2003-03,9.7,13.1,6.6,164,429.53,73
 2003-04,14.8,18.8,11.5,225,489.03,77
 2003-05,18.6,21.9,15.8,392,519.42,82
 2003-06,21.8,25.1,19.1,377,528.68,85
 2003-07,24.2,26.9,22.1,363.5,399.71,92
 2003-08,26.6,29.7,24.2,459,515.46,89
 2003-09,24.5,27.9,21.7,330.4,505.31,82
 2003-10,18,21.9,14.7,51.5,443.3,66
 2003-11,15.1,18.5,11.9,244.5,218.55,74
 2003-12,8.4,11.5,5.4,33.5,188.5,65
 2004-01,5.6,8.9,2.7,68.5,195.41,66
 2004-02,8.3,12.4,4.6,97.1,347.77,63
 2004-03,10.1,14.2,6.4,107.5,468.59,63
 2004-04,14.4,18.6,10.4,257.6,540.07,71
 2004-05,18,21.5,14.9,420.7,503.02,84
 2004-06,22.1,25.5,19.1,180.4,512.74,80
 2004-07,26.4,29.6,23.8,60.5,709.95,88
 2004-08,27.7,31,25,552.5,589.97,81
 2004-09,23.6,26.7,21,412,389.81,81
 2004-10,18.6,22.2,15.4,46,452.88,67
 2004-11,13.8,17.9,10.4,81.1,295.33,71
 2004-12,9.8,13.1,6.5,55.4,196.02,69
 2005-01,5.1,7.9,2.7,58,145.55,67
 2005-02,5.4,8.4,2.5,110,218.85,69
 2005-03,8.2,12.2,4.6,194.6,446.84,67
 2005-04,14.6,18.7,10.9,135.5,618.12,73
 2005-05,17.6,21.6,14,137.7,656.52,73
 2005-06,22.3,25.7,19.4,96.3,654.5,84
 2005-07,25.9,28.8,23.5,374,535.8,87
 2005-08,26.7,29.8,24.2,256,559.19,86
 2005-09,24.8,28,22.4,64,473.45,83
 2005-10,18.9,22.3,16.1,64.5,378.68,71
 2005-11,14.2,17.8,10.8,137,277.85,65
 2005-12,5.8,9.1,2.8,112.5,164.21,70
 2006-01,7.4,10.3,4.7,99,190.81,69
 2006-02,6.5,9.8,3.3,73.5,245.75,67
 2006-03,9.8,13.7,6.1,54.2,468.61,66
 2006-04,13.7,17.4,10.3,282.8,493.91,73
 2006-05,16.9,20.4,14,253.5,531.37,83
 2006-06,20.7,23.8,18.2,486,514.84,89
 2006-07,24.9,27.6,22.9,407.5,541.32,91
 2006-08,27.8,31,25.1,194,596.54,81
 2006-09,22.1,25,19.8,273,392.77,75
 2006-10,20.1,24,16.7,68,451.23,74
 2006-11,14.9,18.2,11.8,85.5,231.51,68
 2006-12,9.1,12.3,6.3,90.5,166.31,69
 2007-01,7.3,10.2,4.7,124.5,167.29,66
 2007-02,9.4,13.1,5.9,61,316.26,67
 2007-03,10.8,14.3,7.5,105.9,436.79,69
 2007-04,14,17.8,10.3,81.9,544.66,66
 2007-05,18.5,22.4,15.1,154,646.99,78
 2007-06,21.3,24.3,18.9,144.4,512.41,85
 2007-07,24.8,27.6,22.5,464.2,529.53,86
 2007-08,27.7,30.7,25.2,563.8,661.13,82
 2007-09,24.1,26.9,21.9,880,457.09,81
 2007-10,19,22.1,16.3,183,462.07,71
 2007-11,12.7,16.1,9.6,2.6,325.24,62
 2007-12,9.8,12.5,7.2,114.7,206.63,67
 2008-01,6.8,9.5,4.6,156.8,191.25,69
 2008-02,5.3,8.5,2.4,31,348.15,58
 2008-03,10.3,14.1,7,123.6,501.43,65
 2008-04,14.5,17.9,11.3,111.2,541.42,69
 2008-05,17.6,21.3,14.1,209.9,641,73
 2008-06,20.5,23.1,18.2,377.3,428.33,84
 2008-07,26.5,29.6,24.1,96.3,659.78,84
 2008-08,26.4,29.6,23.8,396.6,591.4,79
 2008-09,23.8,26.8,21.5,343.2,467.16,78
 2008-10,19.5,22.9,16.6,91,434.31,68
 2008-11,13.2,16.2,10.3,88.3,267.05,67
 2008-12,8.9,12.3,5.6,35.4,227.06,63
 2009-01,5.9,8.7,3,67.9,205.89,65
 2009-02,9.3,12.3,6.3,157,281.63,68
 2009-03,10.2,13.7,6.6,216.6,452.78,62
 2009-04,13.9,17.8,10.1,183.2,599.19,68
 2009-05,18.6,22.7,15,103.4,717.61,70
 2009-06,21.6,24.9,18.8,393,623.8,79
 2009-07,24.9,27.7,22.6,329.1,574.58,83
 2009-08,25.8,28.6,23.5,240.5,608.99,76
 2009-09,23.3,26.3,20.9,162.7,512.86,72
 2009-10,19.4,23,16.2,82.1,499.1,60
 2009-11,12.6,15.8,9.9,180.1,251.22,69
 2009-12,7.6,10.6,4.8,53.9,199.77,67
 2010-01,5.8,9,2.8,64.1,234.14,68
 2010-02,7.7,10.7,4.7,113.2,265.68,70
 2010-03,9.5,12.8,5.9,259.3,369.36,69
 2010-04,11.9,15.3,8.8,324.8,509.6,67
 2010-05,17.1,20.9,14.1,109.9,644.65,74
 2010-06,20.9,24,18.6,387,515.91,82
 2010-07,25.5,28.3,23.3,306,574.45,90
 2010-08,28.1,31,25.8,491.2,613.5,83
 2010-09,24.7,27.7,22.3,188.4,516.26,81
 2010-10,18.3,21.4,15.5,125,416.35,74
 2010-11,12.7,16.5,8.8,3,329.25,66
 2010-12,7.8,11.3,4.5,106.8,211.88,70
 2011-01,2.8,5.2,0.7,19,190.22,69
 2011-02,7.7,11,4.6,140.2,329.04,69
 2011-03,8.1,11.4,4.9,91.6,545.89,58
 2011-04,13.2,17,9.3,148.4,643.37,73
 2011-05,18,21.3,15.4,125.4,618.17,81
 2011-06,21.2,23.8,19.2,584.5,499.06,89
 2011-07,26.5,29.4,24.3,130.4,681.13,86
 2011-08,25.8,28.5,24,423.1,520.98,87
 2011-09,23.7,27,21.1,112.2,617.35,76
 2011-10,18.5,21.8,15.6,71,471.52,68
 2011-11,16.3,19.4,13.7,432.5,285.15,74
 2011-12,7.4,10.2,4.8,73,189.18,67
 2012-01,5.8,8.4,3.4,32.9,226.69,63
 2012-02,5.4,8.3,2.6,109.1,267.78,67
 2012-03,9.6,12.8,6.5,201.5,454.85,70
 2012-04,14.7,18.5,10.7,516.5,579.57,75
 2012-05,19,22.8,15.6,144,698.99,81
 2012-06,22.1,25,19.9,208.8,597.27,93
 2012-07,26,28.7,23.7,207.3,580.38,96
 2012-08,27.6,30.5,25.5,926.7,633.44,93
 2012-09,22.2,25.4,19.7,499.1,528.09,87
 2012-10,18.8,22.3,15.6,47,503.96,74
 2012-11,12.3,15.4,9.3,189.3,299.57,73
 2012-12,6.7,9.8,3.9,190.5,190.67,78
 2013-01,5.7,8.7,2.7,40.1,247.09,73
 2013-02,6.6,9.8,3.2,106,308.81,74
 2013-03,10.3,14.9,5.9,64.3,558.54,74
 2013-04,13.3,17.3,9.3,132.8,600.03,69
 2013-05,18.3,22,14.9,160.5,731.37,84
 2013-06,21.4,24.3,19.4,205.1,529.32,91
 2013-07,27.2,30,25.1,18.8,658.01,88
 2013-08,28.6,31.9,25.8,222.5,662.33,83
