강수분석,
자료구분 : 월,
지역/지점 : 성산,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Dec-16,144
Jan-17,55.6
Feb-17,86.9
Mar-17,60.4
Apr-17,106.7
May-17,66.4
Jun-17,141.2
Jul-17,427.5
Aug-17,437.3
Sep-17,98.3
Oct-17,389.1
Nov-17,16.5
Dec-17,31.8
Jan-18,102.4
Feb-18,125.7
Mar-18,179.5
Apr-18,234.1
May-18,151.8
Jun-18,377.2
Jul-18,41.8
Aug-18,125
Sep-18,521.8
Oct-18,184.2
Nov-18,45.9
Dec-18,57.3
