분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 고산,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
12-Oct,18.7,21.4,25.9,15.8,12.2
12-Nov,12.5,15.1,19.7,10.2,6.4
12-Dec,6.4,9,16.9,3.8,-1.2
13-Jan,5.3,7.7,15.7,3,-1.1
13-Feb,5.6,8.4,16.5,2.9,-2.9
13-Mar,8.9,12.8,18.5,5.5,2.2
13-Apr,12.1,15.6,21.6,8.8,5.1
13-May,16.9,20.3,25.3,14.1,10.2
13-Jun,20.4,23.5,25.9,18.5,13.8
13-Jul,25.9,28.1,30.3,24.4,21.2
13-Aug,27.7,30.5,33.8,25.2,22.1
13-Sep,23.4,26.5,30.3,20.9,17.4
13-Oct,18.9,21.9,30.3,16.3,10.9
13-Nov,12.6,15.7,24.9,9.8,1.7
13-Dec,7.8,10.1,16.6,5.5,1
14-Jan,6.5,9.2,15.3,3.5,-0.4
14-Feb,6.6,9.3,18.4,4.5,-1.1
14-Mar,9.7,12.5,20.6,6.8,1.5
14-Apr,13.8,17.2,23.3,11.2,6.2
14-May,17.3,21.1,25.3,14.4,9.4
14-Jun,20.8,23.9,26.7,18.6,15.8
14-Jul,24.2,26.8,32.6,22.1,18.6
14-Aug,24.4,27.1,32.3,22.8,19.8
14-Sep,23,26.2,29.1,20.3,15.4
14-Oct,19,22.1,27.6,16.2,13.4
14-Nov,14.1,16.7,21.4,11.9,7.1
14-Dec,7.1,9.9,14.4,4.2,0.3
15-Jan,6.9,9.7,16.3,4.4,0.2
15-Feb,6.5,9,13.6,4.2,-1.4
15-Mar,9.4,12.4,20.9,6.6,-0.6
15-Apr,13.3,16.7,23.3,10.6,7.1
15-May,16.7,20,25.5,14.1,10.3
15-Jun,20,22.9,25.5,17.9,13
15-Jul,23.8,26.7,33.4,21.8,18
15-Aug,25.6,28.6,32.4,23.4,19.8
15-Sep,22.3,25.5,28.9,19.7,16.9
15-Oct,18.6,22.1,26.2,15.5,11.4
15-Nov,14.6,17,23.7,12.2,2.8
15-Dec,9.5,11.9,18,7.5,1.7
16-Jan,5.6,7.9,16.1,3.7,-6.2
16-Feb,6.7,9.2,17.3,4.1,-1.1
16-Mar,9.7,12.6,18.4,7.1,0.6
16-Apr,14.2,17.7,22.5,11.3,9.7
16-May,17.5,20.9,25.5,14.7,11.6
16-Jun,21.1,24.2,28.1,19,15
16-Jul,26.1,28.7,33,23.9,21.4
16-Aug,27.7,31.1,34,25.1,19.7
16-Sep,23.4,26.4,31,21.1,18.1
16-Oct,19.7,22.7,29.4,17.5,11.6
16-Nov,13.4,16.2,22.2,10.9,5.6
16-Dec,9.4,12.3,19.5,6.8,2.1
17-Jan,6.5,9.2,17.9,4.2,0.3
17-Feb,6.4,9.6,16.4,3.2,-1.4
17-Mar,9.4,12.6,19.1,6.7,0
17-Apr,14.1,17.6,21.7,10.8,0
17-May,17.8,21.5,25.8,15.1,12.3
17-Jun,20.8,24.2,27.6,18.4,15.1
17-Jul,27.4,30.1,34.2,25.6,23.4
17-Aug,27.6,30.9,35.1,25,21
