"시도별","종류별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"경상북도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상북도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상북도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상북도","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상북도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상남도","합계","감귤","","3","14","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","","-","0",".3287",".646",".4667",
"경상남도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0",".1503",
"경상남도","논","감귤","","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상남도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"경상남도","밭","감귤","","3","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","","-","0",".3287",".646",".4667",
"경상남도","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0",".1503",
"제주도","합계","감귤","","22230","22205","23608","24728","24729","24667","24951","25190","24914","24329","22471","19789","19143","18662","18620","18216","18344","18031","18009","17767","17530","17006","16691","17624","17261.7401","16802.9902","16247.5634",
"제주도","합계","감귤(성과수)","","17794","17930","19446","21838","22365","22808","23311","23698","23561","23314","21635","19214","18642","18289","18223","17889","17901","17573","17378","17145","16992","16439","16112","17049","16624.1932","16025.508","15383.4259",
"제주도","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"제주도","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"제주도","밭","감귤","","22230","22205","23608","24728","24729","24667","24951","25190","24914","24329","22471","19789","19143","18662","18620","18216","18344","18031","18009","17767","17530","17006","16691","17624","17261.7401","16802.9902","16247.5634",
"제주도","밭","감귤(성과수)","","17794","17930","19446","21838","22365","22808","23311","23698","23561","23314","21635","19214","18642","18289","18223","17889","17901","17573","17378","17145","16992","16439","16112","17049","16624.1932","16025.508","15383.4259",
